id,gene_name,chromosome,start,end,strand,gene_type,normal_1,normal_2,normal_3,normal_4,normal_5,normal_6,normal_7,normal_8,tumoral_1,tumoral_2,tumoral_3,tumoral_4,tumoral_5,tumoral_6,tumoral_7,tumoral_8,tumoral_9,tumoral_10,tumoral_11,tumoral_12,tumoral_13,tumoral_14,tumoral_15,tumoral_16,Mean_normal,Mean_tumoral,Median_normal,Median_tumoral,FoldChange,log2FoldChange,pvalue,padj
ENSG00000231806.2_3,PCAT7,chr9,97317351,97330409,+,as_lncRNA,35.2256560884,29.5744324188,40.0630879051,77.150692447,29.8497648627,29.6649666421,18.5274402596,9.814569594,119.9325414552,194.0903458659,267.6185815273,156.300483107,215.2422678682,544.4671733508,727.8511458248,462.1567042529,332.3888940759,375.6953163749,201.6461662106,367.1080256091,428.7805024542,160.3046367018,502.7240647587,390.6167928117,33.7338262772,340.4327276406,29.7573657524,349.7484598425,10.0777208134,3.3330974894,3.36E-24,6.21E-20
ENSG00000197168.11_3,NEK5,chr13,52607747,52703214,-,protein_coding_gene,142.4341746185,285.2501707486,276.8804519665,316.618426146,167.7762645729,238.3791962308,298.4976486266,74.1545258212,613.583448695,1592.6499237906,1853.7733281949,988.0813757256,2820.9631788808,2929.1943627222,1646.4056486343,1824.9528655689,1376.0673328124,1012.8334008572,1620.5595033157,664.3435267065,1432.2615736428,1242.0883075057,599.7792529659,700.416318145,224.9988573414,1432.3720842602,257.6298240987,1404.1644532276,6.366360268,2.6704688004,6.34E-19,3.51E-15
ENSG00000250767.1_3,AC139783.1,chr5,33997149,33997829,-,pseudogene,4.5946507941,11.4481673879,19.5863985314,107.20940379,15.4395335497,14.832483321,17.4981380229,15.2671082573,256.9983031183,997.0698339051,388.0469432146,1587.0510592407,736.9815899819,194.173776876,666.402286352,1252.6608219951,4041.9850839328,40.1427872291,570.0991086583,265.0719580682,180.7163897778,260.631348107,283.532010493,268.2684295459,25.7344854568,749.364483156,15.3533209035,335.7894768538,29.1449394839,4.8651735009,1.26E-16,3.67E-13
ENSG00000232677.6_2,LINC00665,chr19,36803969,36822620,-,lncRNA,320.8597804578,641.0973737227,730.0384907155,477.9335103533,501.2701892454,691.8294006166,731.8338902535,347.8719667202,1052.6222165221,1340.8870180104,1762.1654291337,1250.4038648563,1423.3762875155,1251.8841996578,1420.7400095358,994.3059605976,1742.4892194557,1308.2431427739,1626.8939378563,1129.0512690939,1031.5426223963,1676.1103851065,1441.6512225835,1436.751421836,555.3418252606,1368.0698879332,571.183781484,1380.8135137731,2.4638429831,1.3009103182,3.21E-16,8.89E-13
ENSG00000166206.14_3,GABRB3,chr15,26788693,27184686,-,protein_coding_gene,1317.8990027874,1680.972578124,2429.6037087348,1580.0862595958,912.9910839028,1634.7515545964,1220.7524526592,718.6445958264,6428.1700567468,5028.6035894615,4715.2335460638,2619.9458601928,14720.7857024508,8955.4116792353,5124.6229874159,7382.1556412071,4166.772723347,12473.0845036458,4668.4782564572,4464.0779549146,4212.6000673051,6810.2207904945,8539.7660545016,5057.813989682,1436.9626545284,6585.4839626951,1448.9926311916,5091.218488549,4.5827292382,2.1962070494,4.93E-16,1.19E-12
ENSG00000105707.13_3,HPN,chr19,35531410,35557475,+,protein_coding_gene,117.9293703831,1070.4036507691,914.328695079,1105.1586203768,251.149745741,1114.555175266,760.6543528795,260.631348107,2574.2663362351,5067.4216586347,7873.1328080861,6149.276349372,3164.1605276476,6821.4516288444,3704.9424409745,4024.5717452761,3402.1648236639,2182.1207416842,8224.2075119407,2263.6479766411,3360.6513726383,9756.7726841561,5669.5497021267,7311.7177826873,699.3513698252,5096.878505663,837.4915239793,4545.9967019554,7.2884196756,2.8656060336,5.76E-16,1.33E-12
ENSG00000242110.7_3,AMACR,chr5,33986283,34008213,-,protein_coding_gene,1150.1942488011,2576.7916762276,2795.5132449349,9213.9969836672,869.7603899638,2251.3590755135,2842.9327776093,3769.8852318238,26543.6414070695,99718.0742674206,34748.2142068476,104733.346795801,31538.4476918757,19192.9557344256,86990.395751653,96592.8097933352,232027.867860496,2595.9002408149,26068.3096129447,30711.7472421215,15716.7136004278,51438.1592420875,12136.2605568317,32066.4957961022,3183.8042035676,56426.2087375159,2686.1524605813,31802.4717439889,17.7230456402,4.1475546419,1.04E-15,2.21E-12
ENSG00000223400.1_2,AP006748.1,chr21,42948062,42953246,-,lncRNA,5.3604259265,32.4364742657,3.5611633693,35.0684965668,1.0293022366,8.4757047549,22.6446492062,1.0905077327,417.6222425673,219.5993627511,390.1055476879,467.8084389497,388.8247419554,355.1721345872,740.5647029571,341.7283425656,323.3134293912,24.7032536794,476.1383296387,112.0178567569,104.3889704928,174.4812372264,5.4525386633,1087.6657248118,13.7083405073,351.8491784176,6.9180653407,348.4502385764,25.6799707831,4.6825716559,6.66E-15,1.09E-11
ENSG00000225937.1_3,PCA3,chr9,79379352,79402485,+,as_lncRNA,283.3367989723,1647.5820899093,816.3967024221,121.2368024167,45.2892984123,1113.4957121716,2394.1570024328,147.2185439098,73622.5180595551,75622.0351000979,58612.586563427,83132.1828262596,20299.2304696891,27337.5211393696,6695.8067563508,1106.4999043918,44712.545635175,49511.4961870253,66354.2575523728,4116.9335077374,961.9499754011,252.9977939783,44318.2342555161,16429.4770011043,821.0891188309,35817.8920454657,549.8667506972,35827.8776974429,43.622862168,5.4470125256,7.11E-15,1.13E-11
ENSG00000261211.1_3,AL031123.2,chr6,6680542,6683866,-,lncRNA,14.5497275148,26.7123905718,11.5737809504,14.0273986267,20.5860447329,20.1297987928,17.4981380229,9.814569594,65.3204020426,29.9453676479,86.4613878781,45.9064355979,61.4977908195,145.3863957514,138.7896653611,50.4358095955,88.4857806755,43.230693939,99.2394744701,41.0362445545,152.6548385701,126.4988969892,155.9426057711,126.838211459,16.8614811008,91.1043750701,16.0239327689,87.4735842768,5.4062393949,2.4346253976,7.74E-15,1.19E-11
ENSG00000095627.9_3,TDRD1,chr10,115939029,115992063,+,protein_coding_gene,76.5775132358,136.4239947059,33.8310520088,789.5421512755,27.7911603894,229.903491476,39.1134849925,38.1677706433,11049.8562078244,9955.1711113821,17599.0096421304,9614.1192266399,8005.623704904,11848.5033799252,1405.9075262148,10680.0400074129,5654.0144985465,88.5199923513,831.922403005,302.7809395507,9664.3982359437,214.8300233351,11101.3687185323,915.9290314204,171.4188273409,6808.2496655699,57.8454991141,8809.871465772,39.7203275775,5.3118056159,1.54E-14,2.31E-11
ENSG00000197822.10_3,OCLN,chr5,68788119,68853931,+,protein_coding_gene,1699.2550187015,1620.8696993375,1890.9777491216,1207.3582389429,1129.1445535979,1601.9081986713,1349.4152322396,1123.2229646452,2305.4889442239,2627.4287391783,5996.714830685,4490.0866056204,2739.6273910228,3822.0034373027,2292.6781361935,4625.6842514759,4999.446608165,4143.9708047267,2995.1317986362,3336.1357735113,4310.254265508,2671.7439450299,4525.6070905608,3507.6939009668,1452.7689569072,3711.8560326754,1475.6617154554,3664.8486691348,2.5547475539,1.353180739,3.06E-14,3.94E-11
ENSG00000242583.1_3,AC008040.2,chr3,169780032,169780739,+,pseudogene,29.0994550296,32.4364742657,37.3922153781,40.0782817906,16.4688357863,45.5569130574,43.230693939,46.8918325046,109.2242788253,77.6361383463,129.6920818171,126.7892030798,107.1251840081,83.9142955343,121.8382558513,83.3734811681,79.4103159908,107.0474326109,86.5706053888,75.417962965,205.4105548406,201.7439305431,97.0551882072,124.5932873623,36.3943377189,113.5526372837,38.7352485844,107.0863083095,3.1259939058,1.6443149658,4.06E-14,5.11E-11
ENSG00000250522.1_3,AC004066.2,chr4,106461347,106473512,-,as_lncRNA,81.1721640299,245.181584891,376.5930263081,316.618426146,134.8385930003,400.4770496678,226.4464920616,91.6026495439,1522.714945976,890.5974156016,1697.3193882251,1278.8221345121,1303.3564054323,1089.910094324,758.5755755613,1447.1989447208,1984.123466685,659.7827336885,954.3881374576,929.4154847748,546.6390175267,514.719649818,604.1412838966,1277.3618109761,234.1162482061,1091.1916555735,235.8140384763,1022.1491158908,4.6615837426,2.2208201844,4.75E-14,5.86E-11
ENSG00000164175.14_3,SLC45A2,chr5,33944721,33984835,-,protein_coding_gene,42.883407412,56.2868229905,106.8349010803,159.3111701178,96.7544102445,77.3408058882,65.8753431452,65.4304639599,486.1551233988,1412.9777179034,3213.481582801,5516.4233443442,3900.1502177776,469.3346064188,1571.1837689348,2031.8426151343,28260.9970280479,131.7506862904,464.5251996475,364.8898502278,189.6960861643,803.7041989743,167.9381908305,1636.5496664351,83.8396656048,3163.8499927082,71.6080745167,1108.3409584388,37.7400017944,5.2380225864,5.04E-14,6.08E-11
ENSG00000232806.1_3,AP001610.2,chr21,42931052,42934885,-,lncRNA,3.8288756618,19.0802789798,0.8902908423,8.0156563581,1.0293022366,4.2378523774,9.2637201298,2.1810154653,78.1703171985,66.5452614397,75.139063275,143.1843586505,64.4734903753,76.1083145544,341.1471163837,157.4832422065,163.358364324,4.1172089466,117.187039002,53.2362091518,49.3883301256,174.4812372264,10.9050773267,656.640298261,6.0658740064,139.472808028,4.0333640196,77.1393158764,22.9913681632,4.5230204149,8.86E-14,9.63E-11
